priority_rank,priority,page_type,folder,material,grade,form,city,state,country,proposed_url,proposed_h1,target_keyword,intent,industry_basis,existing_overlap,risk_level,content_depth_score,internal_links_from,internal_links_to,status,notes
218,rest_hss_india,india_city,material-location,High Speed Steel,HSS M2,Round Bars,Ahmedabad,Gujarat,,/material-location/hss-m2-round-bars-ahmedabad.html,HSS M2 Round Bars Supplier in Ahmedabad,hss m2 round bars supplier in ahmedabad,material-form-city RFQ support,"engineering, textile machinery, chemical and fabrication enquiries",none,low,86,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
219,rest_hss_india,india_city,material-location,High Speed Steel,HSS M2,Round Bars,Bengaluru,Karnataka,,/material-location/hss-m2-round-bars-bengaluru.html,HSS M2 Round Bars Supplier in Bengaluru,hss m2 round bars supplier in bengaluru,material-form-city RFQ support,"aerospace, machine shops, electronics, precision engineering and fabrication",none,low,86,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
220,rest_hss_india,india_city,material-location,High Speed Steel,HSS M2,Round Bars,Chakan and Pimpri-Chinchwad,Maharashtra,,/material-location/hss-m2-round-bars-chakan-pimpri-chinchwad.html,HSS M2 Round Bars Supplier in Chakan and Pimpri-Chinchwad,hss m2 round bars supplier in chakan and pimpri-chinchwad,material-form-city RFQ support,"automotive, engineering, machining and component fabrication clusters",none,low,86,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
221,rest_hss_india,india_city,material-location,High Speed Steel,HSS M2,Round Bars,Chennai,Tamil Nadu,,/material-location/hss-m2-round-bars-chennai.html,HSS M2 Round Bars Supplier in Chennai,hss m2 round bars supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,86,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
222,rest_hss_india,india_city,material-location,High Speed Steel,HSS M2,Round Bars,Hyderabad,Telangana,,/material-location/hss-m2-round-bars-hyderabad.html,HSS M2 Round Bars Supplier in Hyderabad,hss m2 round bars supplier in hyderabad,material-form-city RFQ support,"pharma, laboratory, chemical, precision fabrication and engineering buyers",none,low,86,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
223,rest_hss_india,india_city,material-location,High Speed Steel,HSS M2,Round Bars,Coimbatore,Tamil Nadu,,/material-location/hss-m2-round-bars-coimbatore.html,HSS M2 Round Bars Supplier in Coimbatore,hss m2 round bars supplier in coimbatore,material-form-city RFQ support,"machine tools, pumps, foundry support and precision engineering enquiries",none,low,84,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
224,rest_hss_india,india_city,material-location,High Speed Steel,HSS M2,Round Bars,Faridabad,Haryana,,/material-location/hss-m2-round-bars-faridabad.html,HSS M2 Round Bars Supplier in Faridabad,hss m2 round bars supplier in faridabad,material-form-city RFQ support,"fabrication, engineering, machinery and industrial components",none,low,84,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
225,rest_hss_india,india_city,material-location,High Speed Steel,HSS M2,Round Bars,Gurugram and Manesar,Haryana,,/material-location/hss-m2-round-bars-gurugram-manesar.html,HSS M2 Round Bars Supplier in Gurugram and Manesar,hss m2 round bars supplier in gurugram and manesar,material-form-city RFQ support,"automotive, engineering, components and industrial maintenance enquiries",none,low,84,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
226,rest_hss_india,india_city,material-location,High Speed Steel,HSS M2,Round Bars,Jamshedpur,Jharkhand,,/material-location/hss-m2-round-bars-jamshedpur.html,HSS M2 Round Bars Supplier in Jamshedpur,hss m2 round bars supplier in jamshedpur,material-form-city RFQ support,"steel-linked engineering, fabrication and maintenance enquiries",none,low,83,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
227,rest_india_export,india_city,material-location,Aluminium,Aluminium 6061,Fittings,Mumbai,Maharashtra,,/material-location/aluminium-6061-fittings-mumbai.html,Aluminium 6061 Fittings Supplier in Mumbai,aluminium 6061 fittings supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,87,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
228,rest_india_export,india_city,material-location,Aluminium,Aluminium 6061,Fittings,Bengaluru,Karnataka,,/material-location/aluminium-6061-fittings-bengaluru.html,Aluminium 6061 Fittings Supplier in Bengaluru,aluminium 6061 fittings supplier in bengaluru,material-form-city RFQ support,"aerospace, machine shops, electronics, precision engineering and fabrication",none,low,86,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
229,rest_india_export,india_city,material-location,Aluminium,Aluminium 6061,Fittings,Chennai,Tamil Nadu,,/material-location/aluminium-6061-fittings-chennai.html,Aluminium 6061 Fittings Supplier in Chennai,aluminium 6061 fittings supplier in chennai,material-form-city RFQ support,"automotive, process equipment, engineering and port-linked procurement",none,low,86,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
230,rest_india_export,india_city,material-location,Aluminium,Aluminium 6061,Fittings,Pune,Maharashtra,,/material-location/aluminium-6061-fittings-pune.html,Aluminium 6061 Fittings Supplier in Pune,aluminium 6061 fittings supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,86,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
231,rest_india_export,india_city,material-location,Aluminium,Aluminium 6061,Fittings,Vadodara,Gujarat,,/material-location/aluminium-6061-fittings-vadodara.html,Aluminium 6061 Fittings Supplier in Vadodara,aluminium 6061 fittings supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,86,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
232,rest_india_export,india_city,material-location,Aluminium,Aluminium 6061,Fittings,Ahmedabad,Gujarat,,/material-location/aluminium-6061-fittings-ahmedabad.html,Aluminium 6061 Fittings Supplier in Ahmedabad,aluminium 6061 fittings supplier in ahmedabad,material-form-city RFQ support,"engineering, textile machinery, chemical and fabrication enquiries",none,low,85,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
233,rest_india_export,india_city,material-location,Aluminium,Aluminium 6061,Fittings,Hyderabad,Telangana,,/material-location/aluminium-6061-fittings-hyderabad.html,Aluminium 6061 Fittings Supplier in Hyderabad,aluminium 6061 fittings supplier in hyderabad,material-form-city RFQ support,"pharma, laboratory, chemical, precision fabrication and engineering buyers",none,low,85,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
234,rest_india_export,india_city,material-location,Aluminium,Aluminium 6061,Fittings,Delhi NCR,Delhi NCR,,/material-location/aluminium-6061-fittings-delhi.html,Aluminium 6061 Fittings Supplier in Delhi NCR,aluminium 6061 fittings supplier in delhi ncr,material-form-city RFQ support,"trading, fabrication, infrastructure support and engineering procurement",none,low,84,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
235,rest_india_export,india_city,material-location,Aluminium,Aluminium 6061,Fittings,Coimbatore,Tamil Nadu,,/material-location/aluminium-6061-fittings-coimbatore.html,Aluminium 6061 Fittings Supplier in Coimbatore,aluminium 6061 fittings supplier in coimbatore,material-form-city RFQ support,"machine tools, pumps, foundry support and precision engineering enquiries",none,low,83,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
236,rest_india_export,india_city,material-location,Aluminium,Aluminium 6061,Fittings,Faridabad,Haryana,,/material-location/aluminium-6061-fittings-faridabad.html,Aluminium 6061 Fittings Supplier in Faridabad,aluminium 6061 fittings supplier in faridabad,material-form-city RFQ support,"fabrication, engineering, machinery and industrial components",none,low,83,material-location.html; materials.html; locations.html; quotation.html,,created,D11C quality-qualified creation page
237,rest_export,export_country,export-material,Aluminium,Aluminium 6061,Flanges,,,UAE,/export-material/aluminium-6061-flanges-uae.html,Aluminium 6061 Flanges Supplier for UAE,aluminium 6061 flanges supplier for uae,export material-country RFQ support,"GCC fabrication, oil and gas, marine, construction and process-industry enquiries",none,low,83,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
238,rest_export,export_country,export-material,Aluminium,Aluminium 6061,Flanges,,,Saudi Arabia,/export-material/aluminium-6061-flanges-saudi-arabia.html,Aluminium 6061 Flanges Supplier for Saudi Arabia,aluminium 6061 flanges supplier for saudi arabia,export material-country RFQ support,"GCC process, oil and gas, water, fabrication and project procurement",none,low,82,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
239,rest_export,export_country,export-material,Aluminium,Aluminium 6061,Flanges,,,Qatar,/export-material/aluminium-6061-flanges-qatar.html,Aluminium 6061 Flanges Supplier for Qatar,aluminium 6061 flanges supplier for qatar,export material-country RFQ support,"energy, infrastructure, marine and process-industry enquiries",none,low,82,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
240,rest_export,export_country,export-material,Aluminium,Aluminium 6061,Flanges,,,Singapore,/export-material/aluminium-6061-flanges-singapore.html,Aluminium 6061 Flanges Supplier for Singapore,aluminium 6061 flanges supplier for singapore,export material-country RFQ support,"marine, process, precision engineering and trading hub enquiries",none,low,82,export-material.html; export.html; quotation.html,,created,D11C quality-qualified creation page
241,stainless_india,india_city,material-location,Stainless Steel,SS 304,Sheets,Mumbai,Maharashtra,,/material-location/ss-304-sheets-mumbai.html,SS 304 Sheets Supplier in Mumbai,ss 304 sheets supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
242,stainless_india,india_city,material-location,Stainless Steel,SS 304,Round Bars,Mumbai,Maharashtra,,/material-location/ss-304-round-bars-mumbai.html,SS 304 Round Bars Supplier in Mumbai,ss 304 round bars supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
243,stainless_india,india_city,material-location,Stainless Steel,SS 304,Welded Pipes,Mumbai,Maharashtra,,/material-location/ss-304-welded-pipes-mumbai.html,SS 304 Welded Pipes Supplier in Mumbai,ss 304 welded pipes supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
244,stainless_india,india_city,material-location,Stainless Steel,SS 304,Seamless Pipes,Mumbai,Maharashtra,,/material-location/ss-304-seamless-pipes-mumbai.html,SS 304 Seamless Pipes Supplier in Mumbai,ss 304 seamless pipes supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
245,stainless_india,india_city,material-location,Stainless Steel,SS 304,Tubes,Mumbai,Maharashtra,,/material-location/ss-304-tubes-mumbai.html,SS 304 Tubes Supplier in Mumbai,ss 304 tubes supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
246,stainless_india,india_city,material-location,Stainless Steel,SS 316,Pipes,Mumbai,Maharashtra,,/material-location/ss-316-pipes-mumbai.html,SS 316 Pipes Supplier in Mumbai,ss 316 pipes supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
247,stainless_india,india_city,material-location,Stainless Steel,SS 316,Sheets,Mumbai,Maharashtra,,/material-location/ss-316-sheets-mumbai.html,SS 316 Sheets Supplier in Mumbai,ss 316 sheets supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
248,stainless_india,india_city,material-location,Stainless Steel,SS 316,Plates,Mumbai,Maharashtra,,/material-location/ss-316-plates-mumbai.html,SS 316 Plates Supplier in Mumbai,ss 316 plates supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
249,stainless_india,india_city,material-location,Stainless Steel,SS 316,Round Bars,Mumbai,Maharashtra,,/material-location/ss-316-round-bars-mumbai.html,SS 316 Round Bars Supplier in Mumbai,ss 316 round bars supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
250,stainless_india,india_city,material-location,Stainless Steel,SS 316,Welded Pipes,Mumbai,Maharashtra,,/material-location/ss-316-welded-pipes-mumbai.html,SS 316 Welded Pipes Supplier in Mumbai,ss 316 welded pipes supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
251,stainless_india,india_city,material-location,Stainless Steel,SS 316,Seamless Pipes,Mumbai,Maharashtra,,/material-location/ss-316-seamless-pipes-mumbai.html,SS 316 Seamless Pipes Supplier in Mumbai,ss 316 seamless pipes supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
252,stainless_india,india_city,material-location,Stainless Steel,SS 316,Tubes,Mumbai,Maharashtra,,/material-location/ss-316-tubes-mumbai.html,SS 316 Tubes Supplier in Mumbai,ss 316 tubes supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
253,stainless_india,india_city,material-location,Stainless Steel,SS 316,Flanges,Mumbai,Maharashtra,,/material-location/ss-316-flanges-mumbai.html,SS 316 Flanges Supplier in Mumbai,ss 316 flanges supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
254,stainless_india,india_city,material-location,Stainless Steel,SS 316,Fittings,Mumbai,Maharashtra,,/material-location/ss-316-fittings-mumbai.html,SS 316 Fittings Supplier in Mumbai,ss 316 fittings supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",file already exists,low,96,,,rejected-existing-overlap,Existing URL or equivalent intent already covered
255,stainless_india,india_city,material-location,Stainless Steel,SS 304,Sheets,Pune,Maharashtra,,/material-location/ss-304-sheets-pune.html,SS 304 Sheets Supplier in Pune,ss 304 sheets supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
256,stainless_india,india_city,material-location,Stainless Steel,SS 304,Round Bars,Pune,Maharashtra,,/material-location/ss-304-round-bars-pune.html,SS 304 Round Bars Supplier in Pune,ss 304 round bars supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",file already exists,low,96,,,rejected-existing-overlap,Existing URL or equivalent intent already covered
257,stainless_india,india_city,material-location,Stainless Steel,SS 304,Welded Pipes,Pune,Maharashtra,,/material-location/ss-304-welded-pipes-pune.html,SS 304 Welded Pipes Supplier in Pune,ss 304 welded pipes supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
258,stainless_india,india_city,material-location,Stainless Steel,SS 304,Seamless Pipes,Pune,Maharashtra,,/material-location/ss-304-seamless-pipes-pune.html,SS 304 Seamless Pipes Supplier in Pune,ss 304 seamless pipes supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
259,stainless_india,india_city,material-location,Stainless Steel,SS 304,Tubes,Pune,Maharashtra,,/material-location/ss-304-tubes-pune.html,SS 304 Tubes Supplier in Pune,ss 304 tubes supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
260,stainless_india,india_city,material-location,Stainless Steel,SS 316L,Pipes,Mumbai,Maharashtra,,/material-location/ss-316l-pipes-mumbai.html,SS 316L Pipes Supplier in Mumbai,ss 316l pipes supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
261,stainless_india,india_city,material-location,Stainless Steel,SS 316L,Sheets,Mumbai,Maharashtra,,/material-location/ss-316l-sheets-mumbai.html,SS 316L Sheets Supplier in Mumbai,ss 316l sheets supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
262,stainless_india,india_city,material-location,Stainless Steel,SS 316L,Plates,Mumbai,Maharashtra,,/material-location/ss-316l-plates-mumbai.html,SS 316L Plates Supplier in Mumbai,ss 316l plates supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
263,stainless_india,india_city,material-location,Stainless Steel,SS 316L,Round Bars,Mumbai,Maharashtra,,/material-location/ss-316l-round-bars-mumbai.html,SS 316L Round Bars Supplier in Mumbai,ss 316l round bars supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
264,stainless_india,india_city,material-location,Stainless Steel,SS 316L,Welded Pipes,Mumbai,Maharashtra,,/material-location/ss-316l-welded-pipes-mumbai.html,SS 316L Welded Pipes Supplier in Mumbai,ss 316l welded pipes supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
265,stainless_india,india_city,material-location,Stainless Steel,SS 316L,Seamless Pipes,Mumbai,Maharashtra,,/material-location/ss-316l-seamless-pipes-mumbai.html,SS 316L Seamless Pipes Supplier in Mumbai,ss 316l seamless pipes supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
266,stainless_india,india_city,material-location,Stainless Steel,SS 316L,Tubes,Mumbai,Maharashtra,,/material-location/ss-316l-tubes-mumbai.html,SS 316L Tubes Supplier in Mumbai,ss 316l tubes supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
267,stainless_india,india_city,material-location,Stainless Steel,SS 316L,Flanges,Mumbai,Maharashtra,,/material-location/ss-316l-flanges-mumbai.html,SS 316L Flanges Supplier in Mumbai,ss 316l flanges supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
268,stainless_india,india_city,material-location,Stainless Steel,SS 316L,Fittings,Mumbai,Maharashtra,,/material-location/ss-316l-fittings-mumbai.html,SS 316L Fittings Supplier in Mumbai,ss 316l fittings supplier in mumbai,material-form-city RFQ support,"process equipment, marine support, trading, fabrication and project procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
269,stainless_india,india_city,material-location,Stainless Steel,SS 316,Pipes,Pune,Maharashtra,,/material-location/ss-316-pipes-pune.html,SS 316 Pipes Supplier in Pune,ss 316 pipes supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
270,stainless_india,india_city,material-location,Stainless Steel,SS 316,Sheets,Pune,Maharashtra,,/material-location/ss-316-sheets-pune.html,SS 316 Sheets Supplier in Pune,ss 316 sheets supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
271,stainless_india,india_city,material-location,Stainless Steel,SS 316,Plates,Pune,Maharashtra,,/material-location/ss-316-plates-pune.html,SS 316 Plates Supplier in Pune,ss 316 plates supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
272,stainless_india,india_city,material-location,Stainless Steel,SS 316,Round Bars,Pune,Maharashtra,,/material-location/ss-316-round-bars-pune.html,SS 316 Round Bars Supplier in Pune,ss 316 round bars supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
273,stainless_india,india_city,material-location,Stainless Steel,SS 316,Welded Pipes,Pune,Maharashtra,,/material-location/ss-316-welded-pipes-pune.html,SS 316 Welded Pipes Supplier in Pune,ss 316 welded pipes supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
274,stainless_india,india_city,material-location,Stainless Steel,SS 316,Seamless Pipes,Pune,Maharashtra,,/material-location/ss-316-seamless-pipes-pune.html,SS 316 Seamless Pipes Supplier in Pune,ss 316 seamless pipes supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
275,stainless_india,india_city,material-location,Stainless Steel,SS 316,Tubes,Pune,Maharashtra,,/material-location/ss-316-tubes-pune.html,SS 316 Tubes Supplier in Pune,ss 316 tubes supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
276,stainless_india,india_city,material-location,Stainless Steel,SS 316,Flanges,Pune,Maharashtra,,/material-location/ss-316-flanges-pune.html,SS 316 Flanges Supplier in Pune,ss 316 flanges supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
277,stainless_india,india_city,material-location,Stainless Steel,SS 316,Fittings,Pune,Maharashtra,,/material-location/ss-316-fittings-pune.html,SS 316 Fittings Supplier in Pune,ss 316 fittings supplier in pune,material-form-city RFQ support,"automotive, engineering, machine shops and fabrication buyers",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
278,stainless_india,india_city,material-location,Stainless Steel,SS 304,Sheets,Chakan and Pimpri-Chinchwad,Maharashtra,,/material-location/ss-304-sheets-chakan-pimpri-chinchwad.html,SS 304 Sheets Supplier in Chakan and Pimpri-Chinchwad,ss 304 sheets supplier in chakan and pimpri-chinchwad,material-form-city RFQ support,"automotive, engineering, machining and component fabrication clusters",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
279,stainless_india,india_city,material-location,Stainless Steel,SS 304,Round Bars,Chakan and Pimpri-Chinchwad,Maharashtra,,/material-location/ss-304-round-bars-chakan-pimpri-chinchwad.html,SS 304 Round Bars Supplier in Chakan and Pimpri-Chinchwad,ss 304 round bars supplier in chakan and pimpri-chinchwad,material-form-city RFQ support,"automotive, engineering, machining and component fabrication clusters",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
280,stainless_india,india_city,material-location,Stainless Steel,SS 304,Welded Pipes,Chakan and Pimpri-Chinchwad,Maharashtra,,/material-location/ss-304-welded-pipes-chakan-pimpri-chinchwad.html,SS 304 Welded Pipes Supplier in Chakan and Pimpri-Chinchwad,ss 304 welded pipes supplier in chakan and pimpri-chinchwad,material-form-city RFQ support,"automotive, engineering, machining and component fabrication clusters",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
281,stainless_india,india_city,material-location,Stainless Steel,SS 304,Seamless Pipes,Chakan and Pimpri-Chinchwad,Maharashtra,,/material-location/ss-304-seamless-pipes-chakan-pimpri-chinchwad.html,SS 304 Seamless Pipes Supplier in Chakan and Pimpri-Chinchwad,ss 304 seamless pipes supplier in chakan and pimpri-chinchwad,material-form-city RFQ support,"automotive, engineering, machining and component fabrication clusters",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
282,stainless_india,india_city,material-location,Stainless Steel,SS 304,Tubes,Chakan and Pimpri-Chinchwad,Maharashtra,,/material-location/ss-304-tubes-chakan-pimpri-chinchwad.html,SS 304 Tubes Supplier in Chakan and Pimpri-Chinchwad,ss 304 tubes supplier in chakan and pimpri-chinchwad,material-form-city RFQ support,"automotive, engineering, machining and component fabrication clusters",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
283,stainless_india,india_city,material-location,Stainless Steel,SS 304,Sheets,Ahmedabad,Gujarat,,/material-location/ss-304-sheets-ahmedabad.html,SS 304 Sheets Supplier in Ahmedabad,ss 304 sheets supplier in ahmedabad,material-form-city RFQ support,"engineering, textile machinery, chemical and fabrication enquiries",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
284,stainless_india,india_city,material-location,Stainless Steel,SS 304,Round Bars,Ahmedabad,Gujarat,,/material-location/ss-304-round-bars-ahmedabad.html,SS 304 Round Bars Supplier in Ahmedabad,ss 304 round bars supplier in ahmedabad,material-form-city RFQ support,"engineering, textile machinery, chemical and fabrication enquiries",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
285,stainless_india,india_city,material-location,Stainless Steel,SS 304,Welded Pipes,Ahmedabad,Gujarat,,/material-location/ss-304-welded-pipes-ahmedabad.html,SS 304 Welded Pipes Supplier in Ahmedabad,ss 304 welded pipes supplier in ahmedabad,material-form-city RFQ support,"engineering, textile machinery, chemical and fabrication enquiries",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
286,stainless_india,india_city,material-location,Stainless Steel,SS 304,Seamless Pipes,Ahmedabad,Gujarat,,/material-location/ss-304-seamless-pipes-ahmedabad.html,SS 304 Seamless Pipes Supplier in Ahmedabad,ss 304 seamless pipes supplier in ahmedabad,material-form-city RFQ support,"engineering, textile machinery, chemical and fabrication enquiries",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
287,stainless_india,india_city,material-location,Stainless Steel,SS 304,Tubes,Ahmedabad,Gujarat,,/material-location/ss-304-tubes-ahmedabad.html,SS 304 Tubes Supplier in Ahmedabad,ss 304 tubes supplier in ahmedabad,material-form-city RFQ support,"engineering, textile machinery, chemical and fabrication enquiries",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
288,stainless_india,india_city,material-location,Stainless Steel,SS 304,Sheets,Vadodara,Gujarat,,/material-location/ss-304-sheets-vadodara.html,SS 304 Sheets Supplier in Vadodara,ss 304 sheets supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
289,stainless_india,india_city,material-location,Stainless Steel,SS 304,Round Bars,Vadodara,Gujarat,,/material-location/ss-304-round-bars-vadodara.html,SS 304 Round Bars Supplier in Vadodara,ss 304 round bars supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
290,stainless_india,india_city,material-location,Stainless Steel,SS 304,Welded Pipes,Vadodara,Gujarat,,/material-location/ss-304-welded-pipes-vadodara.html,SS 304 Welded Pipes Supplier in Vadodara,ss 304 welded pipes supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
291,stainless_india,india_city,material-location,Stainless Steel,SS 304,Seamless Pipes,Vadodara,Gujarat,,/material-location/ss-304-seamless-pipes-vadodara.html,SS 304 Seamless Pipes Supplier in Vadodara,ss 304 seamless pipes supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
292,stainless_india,india_city,material-location,Stainless Steel,SS 304,Tubes,Vadodara,Gujarat,,/material-location/ss-304-tubes-vadodara.html,SS 304 Tubes Supplier in Vadodara,ss 304 tubes supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
293,stainless_india,india_city,material-location,Stainless Steel,SS 316,Pipes,Vadodara,Gujarat,,/material-location/ss-316-pipes-vadodara.html,SS 316 Pipes Supplier in Vadodara,ss 316 pipes supplier in vadodara,material-form-city RFQ support,"chemical, process equipment, power and engineering procurement",none,low,96,,,backlog,Held for later review to keep D11C inside preferred range
